name,book1,book2,book3,gender
HARRY,330,390,308,male
LUPIN,0,0,207,male
HERMIONE,173,122,193,female
RON,210,175,151,male
HAGRID,215,82,97,male
DUMBLEDORE,75,88,76,male
SIRIUS,0,0,70,male
SNAPE,33,27,61,male
FUDGE,0,10,55,male
TRELAWNEY,0,0,39,female
MALFOY,38,55,38,male
AUNT MARGE,0,0,37,female
STAN SHUNPIKE,0,0,28,male
FRED,7,7,25,male
MCGONAGALL,64,66,22,female
GEORGE,7,3,22,male
VERNON,37,34,19,male
PETTIGREW,0,0,19,male
MR. WEASLEY,0,21,18,male
SEAMUS,11,4,16,male
MADAM ROSMERTA,0,0,13,female
PERCY,23,9,12,male
NEVILLE,16,8,12,male
MRS. WEASLEY,11,54,10,female
FAT LADY,1,0,9,female
FILCH,22,21,7,male
PETUNIA,45,4,6,female
